ID,ONETCode,Gender,Age,White,AfnAmn,AsnPI,HispLat,NAorAI,Other,OthrTxt,Educ,HSGPA,HS4,HSTotal,ColGPA,ColGPA4,ColGPATotal,CurrEmpl,AvgHrs,JobTitle,Mgmt,NumMgmt,Salary,CHIncome,Rltnshp,Chldrn,NumChlrn,USLadder,CommLadd,OrgLadd,X1,countryCode,countryName,block
689,47.1011.00,1,33,1,NA,NA,NA,NA,NA,NA,2,2.3,1,NA,NA,NA,NA,1,40,Foreman,1,NA,50000,5000,2,1,1,4,5,7,683,US,United States,0
422,19.4061.00,1,22,1,NA,NA,NA,NA,NA,NA,5,NA,1,NA,3,1,NA,1,40,Research Tech,2,NA,35000,3500,2,2,NA,6,6,4,419,US,United States,0
1151,11.9051.00,2,44,1,NA,NA,NA,NA,NA,NA,3,3.6,1,NA,3.8,1,NA,1,35,Caterer,1,3,24000,4000,2,1,3,4,4,7,1133,US,United States,0
18,11.2022.00,2,25,1,NA,NA,NA,NA,NA,NA,5,3.8,1,NA,3.4,1,NA,1,40,Sales Manager,1,6,40000,7000,2,2,NA,8,8,7,18,US,United States,0
718,NA,2,24,NA,1,NA,NA,NA,NA,NA,3,1.5,2,2,1.5,2,2,1,30,A bit of everything office wise,2,NA,NA,NA,1,2,NA,3,5,7,712,US,United States,0
520,NA,1,27,1,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,1,NA,2,NA,student,2,NA,NA,NA,1,2,NA,7,6,7,516,IL,Israel,0
871,29.1141.00,2,28,1,NA,NA,NA,NA,NA,NA,4,4,1,NA,3.5,1,NA,1,36,RN,2,NA,NA,NA,2,1,2,4,6,5,862,US,United States,0
1169,27.1024.00,2,34,1,NA,NA,NA,NA,NA,NA,5,3.75,1,NA,3.8,1,NA,1,45,Graphic designer,1,1,55000,1300,2,2,NA,6,6,7,1146,US,United States,0
1034,11.2021.00,2,29,1,NA,NA,NA,NA,NA,NA,6,3.94,1,NA,3.9,1,NA,1,45,Product Manager,1,3,43000,7300,2,2,NA,3,3,5,1023,US,United States,0
232,31.9099.01,2,45,1,NA,NA,NA,NA,NA,NA,3,3.4,1,NA,2,1,NA,2,NA,was speech language aide,2,NA,0,26,2,2,NA,3,3,1,232,US,United States,0
874,NA,2,31,NA,NA,1,NA,NA,NA,NA,6,3.6,1,NA,3.7,1,NA,1,40,Jr. Project Manager,1,1,80000,1600,2,1,1,8,6,9,865,US,United States,2
273,43.4051.00,1,29,1,NA,NA,NA,NA,NA,NA,5,3.1,1,NA,3,1,NA,1,42,Client Services Rep,2,NA,35380,3538,1,2,NA,4,5,7,272,US,United States,2
668,43.6011.00,1,21,1,NA,NA,NA,NA,NA,NA,5,3.9,1,NA,2.8,1,NA,1,20,Administrative Assistant,2,NA,NA,NA,1,2,NA,5,8,2,662,US,United States,0
206,13.1041.02,1,42,1,NA,NA,NA,NA,NA,NA,5,3.3,1,NA,3.5,1,NA,1,40,Compliance Officer,2,NA,40000,4000,3,1,2,4,4,6,206,US,United States,0
880,17.2071.00,2,26,1,NA,NA,NA,NA,NA,NA,5,3.6,1,NA,3.8,1,NA,1,50,Electrical Engineering Planner,1,13,NA,NA,2,1,1,8,9,4,871,US,United States,0
857,11.1021.00,2,27,NA,1,NA,NA,NA,NA,NA,3,4,1,NA,4,1,NA,1,40,manager,1,16,15000,1500,1,2,NA,5,6,8,848,KE,Kenya,0
454,25.1191.00,2,30,1,NA,NA,NA,NA,NA,NA,5,4,1,NA,3.8,1,NA,1,8,Course Assistant,2,NA,1500,4500,2,2,NA,4,5,2,450,US,United States,0
274,11.1011.00,1,39,NA,NA,NA,NA,1,NA,NA,2,1,1,NA,0,2,NA,1,50,proprietor,1,2,7200,7200,2,1,1,2,3,10,273,PH,Philippines,0
550,37.3011.00,1,26,NA,NA,NA,1,NA,NA,NA,3,2.7,1,NA,NA,NA,NA,1,38,Gardener,2,NA,20000,NA,1,2,NA,3,5,4,546,US,United States,0
597,NA,2,50,1,NA,NA,NA,NA,NA,NA,5,2.5,1,NA,2.5,1,NA,2,NA,NA,NA,NA,0,1000,2,1,2,6,6,6,593,US,United States,0
147,11.3011.00,2,38,1,NA,NA,NA,NA,NA,NA,4,NA,2,NA,3.8,1,NA,1,40,Business Admin,1,50,NA,NA,1,2,NA,6,6,6,147,US,United States,0
936,31.1014.00,1,22,NA,NA,NA,1,NA,NA,NA,4,3,1,NA,3.5,1,NA,1,30,Nurse Assstant,2,NA,NA,NA,1,2,NA,5,7,6,926,US,United States,0
54,NA,2,27,1,NA,NA,NA,NA,NA,NA,5,3.5,1,NA,3.5,1,NA,2,NA,Unemployed,2,NA,12000,2000,1,2,NA,5,8,6,54,US,United States,0
392,NA,1,27,1,NA,NA,NA,NA,NA,NA,3,3.4,2,5,3.8,1,NA,1,42,Operator,2,NA,35000,5300,1,1,1,4,7,8,389,US,United States,0
1084,NA,2,54,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,US,United States,0
257,35.2014.00,1,29,1,NA,NA,NA,NA,NA,NA,5,3,1,NA,3.2,1,NA,2,NA,Cook,2,NA,0,0,1,2,NA,3,2,5,256,US,United States,0
674,NA,2,29,1,NA,NA,NA,NA,NA,NA,4,2.4,1,NA,3,1,NA,2,NA,stay at home mom,2,NA,0,NA,2,1,2,4,5,5,668,US,United States,0
245,11.1021.00,1,50,1,NA,NA,NA,NA,NA,NA,3,3.2,1,NA,NA,2,4,1,45,Senior Project Manager,1,24,NA,NA,2,1,2,7,8,7,245,US,United States,0
105,27.3034.04,2,60,1,NA,NA,NA,NA,NA,NA,4,3.5,1,NA,3.8,1,NA,1,50,copywriter,2,NA,NA,NA,3,2,NA,6,6,7,105,US,United States,0
156,51.9198.00,2,49,1,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,1,NA,1,40,Production Worker,2,NA,NA,NA,2,1,2,2,2,4,156,US,United States,0
63,25.4021.00,2,50,1,NA,NA,NA,NA,NA,NA,6,3.5,1,NA,3,1,NA,1,35,Librarian,1,5,NA,NA,1,2,NA,5,5,4,63,US,United States,0
131,NA,2,58,1,NA,NA,NA,NA,NA,NA,5,2.5,1,NA,2.5,1,NA,2,NA,community moderator,2,NA,NA,3500,3,1,2,3,4,3,131,US,United States,0
1006,13.1161.00,1,45,1,NA,NA,NA,NA,NA,NA,6,3.8,1,NA,3.75,1,NA,1,45,analyst,1,1,100000,1000,2,2,NA,7,5,5,995,US,United States,0
1082,43.6014.00,2,64,1,NA,NA,NA,NA,NA,NA,3,3.5,1,NA,3,1,NA,1,20,Assistant,2,NA,35000,8500,2,1,2,5,5,5,1071,US,United States,0
962,11.3021.00,2,30,1,NA,NA,NA,NA,NA,NA,5,3.98,1,NA,4,1,NA,1,40,Head of IT,1,5,NA,NA,1,2,NA,6,8,9,952,US,United States,0
644,29.1141.00,2,50,1,NA,NA,NA,NA,NA,NA,3,3.8,1,NA,3.6,1,NA,1,40,nurse,2,NA,51000,5100,3,1,2,4,4,4,639,US,United States,0
966,25.2031.00,1,46,1,NA,NA,NA,NA,NA,NA,5,4,1,NA,3.9,1,NA,1,40,Teacher,1,60,NA,NA,2,1,2,5,9,8,956,US,United States,0
556,43.5052.00,1,61,1,NA,NA,NA,NA,NA,NA,4,3.25,1,NA,3.75,1,NA,1,32,Mail carrier,2,NA,0,6500,2,1,6,5,6,5,552,US,United States,0
702,43.6011.00,2,27,1,NA,NA,NA,NA,NA,NA,3,3.8,1,NA,3.2,1,NA,1,30,Admin Assistant,2,NA,NA,NA,3,1,2,4,5,4,696,US,United States,0
1000,47.2121.00,1,39,NA,1,NA,NA,NA,NA,NA,3,2.8,1,NA,2.5,1,NA,1,45,Storefront Mechanic,2,NA,NA,NA,2,1,1,6,7,9,990,US,United States,0
691,41.2011.00,2,36,1,NA,1,NA,NA,NA,NA,3,3.9,1,NA,3.75,1,NA,1,20,Cashier,2,NA,8500,9700,1,1,4,5,5,4,685,US,United States,0
1016,39.9011.00,2,46,NA,1,NA,NA,NA,NA,NA,5,3.75,1,NA,3.4,1,NA,1,30,Child-care provider,2,NA,NA,NA,2,2,NA,4,5,5,1005,US,United States,0
494,11.1021.00,2,26,1,1,NA,NA,NA,NA,NA,2,4,1,NA,4,1,NA,1,70,Management/Entrepreneur,1,10,10000,1000,2,2,NA,1,4,1,490,US,United States,0
797,29.2061.00,2,30,1,NA,NA,NA,NA,NA,NA,3,3.6,1,NA,3.5,1,NA,1,40,lpn charge nurse,1,5,39000,3900,2,1,1,3,3,5,789,US,United States,0
217,NA,2,29,1,NA,NA,NA,NA,NA,NA,5,3.7,1,NA,3.5,1,NA,1,35,Idependent Contractor,1,3,25,60,2,2,NA,6,8,7,217,US,United States,0
1278,41.2031.00,1,44,NA,NA,NA,1,NA,NA,NA,5,3.1,1,NA,3,1,NA,1,50,Sales Associate,2,NA,50000,5000,1,2,NA,2,4,7,1235,US,United States,0
1280,41.2031.00,1,44,NA,NA,NA,1,NA,NA,NA,5,3.1,1,NA,3,1,NA,1,50,Sales Associate,2,NA,50000,5000,1,2,NA,2,4,7,1235,US,United States,0
309,41.4012.00,2,39,NA,1,NA,NA,NA,NA,NA,4,3,2,5,3.5,1,NA,1,40,sales,2,NA,NA,NA,2,1,3,6,7,6,307,US,United States,0
420,49.3021.00,1,33,1,NA,NA,NA,NA,NA,NA,4,3.1,1,NA,NA,NA,NA,1,40,automotive repair technician,2,NA,NA,NA,2,1,3,5,4,2,417,US,United States,0
1226,41.4012.00,2,51,1,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,1,40,sales,2,NA,32000,7900,2,1,3,3,4,5,1195,US,United States,0
1032,NA,2,29,1,NA,NA,NA,NA,NA,NA,5,4.5,1,NA,3,2,4,1,40,Module Leader,2,NA,NA,NA,2,2,NA,6,6,5,1021,US,United States,0
369,41.2031.00,2,30,1,NA,NA,NA,NA,NA,NA,3,2.5,1,NA,NA,2,NA,1,20,Sales Associate,2,NA,NA,NA,2,1,2,4,4,3,367,US,United States,0
266,43.4051.00,2,44,NA,1,NA,NA,NA,NA,NA,5,3.8,1,NA,2,1,NA,1,40,Customer Care Analyst,2,NA,32000,3200,1,2,NA,3,4,1,265,US,United States,0
531,25.2031.00,2,38,1,NA,NA,NA,NA,NA,NA,5,3.9,1,NA,3.8,1,NA,2,NA,"teacher, housewife",1,2,0,1000,2,1,2,8,8,5,527,US,United States,0
411,11.2031.00,2,39,1,NA,NA,NA,NA,NA,NA,4,3.85,1,NA,3.76,1,NA,1,40,pr,2,NA,44000,7900,2,1,3,4,7,5,408,US,United States,0
762,11.9051.00,2,36,1,NA,NA,NA,NA,NA,NA,3,3.5,1,NA,3.25,1,NA,1,55,Restaurant Manager,1,12,38000,3800,1,1,2,6,7,8,754,US,United States,0
1178,NA,1,25,NA,NA,NA,1,NA,NA,NA,3,1.8,1,NA,3.8,1,NA,2,NA,unemployed,2,NA,0,0,2,2,NA,2,2,1,1154,US,United States,0
858,NA,1,23,1,NA,NA,NA,NA,NA,NA,5,2.7,1,NA,3.2,1,NA,2,NA,Unemployed,2,NA,0,0,1,2,NA,3,7,1,849,US,United States,0
1138,NA,2,33,1,NA,NA,NA,NA,NA,NA,6,3.8,1,NA,3.7,1,NA,2,NA,stay at home parent,2,NA,0,NA,2,1,2,9,7,8,1120,US,United States,0
410,27.3041.00,2,48,1,NA,NA,NA,NA,NA,NA,6,3.2,1,NA,3.9,1,NA,1,37,editor,2,NA,52500,5250,1,2,NA,4,3,5,407,US,United States,0
1202,43.4171.00,2,22,1,NA,NA,NA,NA,NA,NA,4,3.4,1,NA,3.2,1,NA,1,39,Receptionist,2,NA,NA,NA,2,1,1,4,5,5,1175,US,United States,0
83,43.1011.00,2,23,1,NA,1,NA,NA,NA,NA,5,3.75,1,NA,3.34,1,NA,1,40,Coordinator,2,NA,NA,NA,1,2,NA,5,5,3,83,US,United States,0
1105,13.2011.01,2,27,1,NA,NA,NA,NA,NA,NA,6,3.8,1,NA,3.79,1,NA,1,40,Accountant,2,NA,72500,1025,2,2,NA,8,8,6,1093,US,United States,0
710,43.6011.00,2,25,1,NA,NA,NA,NA,NA,NA,5,4,1,NA,3.86,1,NA,1,37,Administrative Assistant,2,NA,NA,NA,2,2,NA,7,7,7,704,US,United States,0
1205,11.3011.00,2,35,1,NA,NA,NA,NA,NA,NA,3,3.8,1,NA,3.7,1,NA,1,40,Corporate Administrator,2,NA,30000,7500,2,1,2,5,6,6,1178,US,United States,0
502,15.1199.09,2,32,1,NA,NA,NA,NA,NA,NA,5,3.5,1,NA,3.2,1,NA,1,38,Web Project Manager,1,3,60000,9000,2,1,4,5,4,8,498,US,United States,0
1069,53.7062.00,1,36,1,NA,NA,NA,NA,NA,NA,3,3.5,1,NA,3.62,1,NA,1,40,Warehouse Worker,2,NA,25000,2500,2,1,1,2,2,1,1058,US,United States,0
419,43.5052.00,1,51,1,NA,NA,NA,NA,NA,NA,2,4,1,NA,NA,2,NA,1,45,Mail Carrier,2,NA,28000,4000,1,2,NA,2,6,2,416,US,United States,0
757,NA,2,31,1,NA,NA,NA,NA,NA,NA,4,2.75,1,NA,3.75,1,NA,2,NA,Stay home mom,2,NA,0,NA,2,1,5,4,4,4,749,US,United States,0
1191,NA,2,44,1,NA,NA,NA,NA,NA,NA,4,3.5,1,NA,2.75,1,NA,2,NA,disabled,2,NA,0,9400,2,1,3,5,5,3,1165,US,United States,0
553,27.3042.00,2,40,1,NA,NA,NA,NA,NA,NA,5,3.7,1,NA,3.8,1,NA,1,50,Technical Editor,2,NA,25000,5000,2,1,3,2,3,3,549,US,United States,0
27,27.3031.00,2,33,1,NA,NA,NA,NA,NA,NA,5,3.8,1,NA,3.6,1,NA,1,20,Communications assistant,2,NA,NA,NA,2,1,2,7,5,5,27,US,United States,0
1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1053,US,United States,0
430,13.2011.02,2,58,NA,NA,NA,1,NA,NA,NA,6,4,1,NA,3.2,1,NA,1,40,Auditor,1,2,NA,NA,2,1,2,5,7,8,426,US,United States,0
826,NA,2,30,NA,NA,NA,1,NA,NA,NA,3,3.5,1,NA,3,1,NA,2,NA,Homemaker,1,4,0,NA,2,1,3,6,8,6,817,ZZ,Unknown,0
250,35.2014.00,1,24,NA,1,NA,NA,NA,NA,NA,2,4,1,NA,NA,2,NA,1,36,Prep Cook,2,NA,NA,NA,1,2,NA,6,5,7,249,ZZ,Unknown,0
1003,35.2014.00,1,24,NA,1,NA,NA,NA,NA,NA,2,3.7,1,NA,NA,2,NA,1,40,Prep Cook,2,NA,NA,NA,1,2,NA,5,7,7,249,ZZ,Unknown,0
509,15.1199.09,2,45,NA,NA,NA,NA,NA,1,West Indian,6,3.6,1,NA,3.8,1,NA,1,80,Project Manager Remote Access Services and IP Secu,1,8,100000,1000,3,1,1,4,4,4,505,US,United States,0
795,47.2031.01,1,56,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,2,NA,carpenter,1,1,NA,1200,3,1,4,6,6,10,787,US,United States,0
458,25.9041.00,2,47,1,NA,NA,NA,NA,NA,NA,5,3.4,1,NA,3.4,1,NA,1,1,Teacher's Assistant,2,NA,300,5000,2,1,1,5,5,3,454,US,United States,0
884,43.5031.00,2,31,1,NA,NA,NA,NA,NA,NA,4,3.4,1,NA,3.6,1,NA,1,45,Public Safety Dispatcher,2,NA,NA,NA,2,1,1,6,6,3,875,US,United States,1
717,43.9061.00,2,35,NA,NA,1,NA,NA,NA,NA,5,NA,2,4,NA,NA,NA,1,25,ADMIN CLERK,2,NA,NA,NA,2,1,2,8,8,6,711,US,United States,0
506,43.3031.00,2,55,1,NA,NA,NA,NA,NA,NA,2,3.2,NA,NA,NA,NA,NA,1,36,bookkeeper,2,NA,25500,2550,1,2,NA,2,4,8,502,US,United States,0
533,37.2012.00,2,33,1,NA,NA,NA,NA,NA,NA,3,3.99,1,NA,4,1,NA,1,30,Houeskeeper/Cook,2,NA,12000,2000,2,1,1,1,1,2,529,US,United States,0
478,31.9095.00,2,21,1,NA,NA,NA,NA,NA,NA,3,3.8,1,NA,3.5,1,NA,1,15,Pharmacy Intern,2,NA,NA,NA,1,2,NA,5,6,7,474,US,United States,0
907,35.9021.00,2,24,1,NA,NA,NA,NA,NA,NA,5,3.7,1,NA,3.69,1,NA,1,32,dishwasher,2,NA,11000,1100,1,2,NA,4,2,5,898,US,United States,0
611,13.1111.00,2,23,1,NA,NA,NA,NA,NA,NA,5,4.18,1,NA,3.1,1,NA,1,34,Business Analyst,2,NA,39000,3900,2,2,NA,6,6,4,607,US,United States,0
213,15.1151.00,1,37,1,NA,NA,NA,NA,NA,NA,5,2.5,1,NA,3.5,1,NA,1,40,IT support,2,NA,70000,1250,2,1,3,6,6,6,213,US,United States,0
352,15.1151.00,1,37,1,NA,NA,NA,NA,NA,NA,3,4.12,1,NA,2.85,1,NA,1,42,HelpDesk Agent 2,2,NA,42000,9000,2,1,1,3,5,4,350,US,United States,0
470,43.9021.00,1,23,1,NA,NA,NA,NA,NA,NA,3,2.5,1,NA,2,1,NA,2,NA,Freelance Data Entry Specialist/Writer/Transcriber,2,NA,NA,NA,1,2,NA,4,2,3,466,US,United States,0
1245,15.1199.03,2,39,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,2,NA,1,48,web owner,1,1,NA,NA,1,2,NA,3,4,3,1212,US,United States,0
1090,49.3053.00,1,27,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,40,Engine repair,2,NA,NA,NA,1,2,NA,5,5,5,1079,US,United States,0
